Statistics,Machine Learning,Deep Learning,R Language,Python Language,NLP,Data Engineering
statistical models,linear regression,neural network,r,python,nlp,laws
statistical modeling,logistic regression,keras,ggplot,flask,natural language processing,ec2
probability,K means,theano,shiny,django,topic modeling,amazon redshift
normal distribution,random forest,face detection,cran,pandas,Ida,s3
poisson distribution,xgboost,neural networks,dplyr,numpy,named entity recognition,docker
survival models,svm,convolutional neural network (con),tidlr,scikitlearn,pos tagging,kubernetes
hypothesis testing,naive bayes,recurrent neural network( (RNN),lubridate,sklearn,word2vec,scala
bayesian inference,pca,object detection,knitr,matplotlib,word embedding,teradata
factor analysis,decision trees,yolo,,sclpy,Isi,google big query
forecasting,svd,gpu,,bokeh,spacy,laws lambda
markow chain,ensemble models,cuda,,statsmodel,gensim,laws emr
monte carlo,boltzman machine,tensorflow,,,Inltk,hive
,,Istm,,,nmf,hadoop
,,gan,,,doc2ved,sal
,,opency,,,cbow,
,,,,,bag of words,
,,,,,skip gram,
,,,,,bert,
,,,,,sentiment analysis,
,,,,,chat bot,
